Ticker,Nome,Setor,Preço,P/L,P/VP,Dividend Yield,ROE,LPA,VPA,Preço Justo Graham,Preço Teto Bazin,Score (0-5)
VBBR3,Vibra Energia S.A.,Consumo Cíclico,R$ 39.62,9.32,2.01,4.99%,22.62%,4.25,19.67,R$ 43.37,R$ 33.00,3.0
AURE3,Auren Energia S.A.,Utilidade Pública,R$ 12.61,,1.14,30.0%,-7.68%,-1.04,11.02,R$ 0.00,R$ 1.00,2.0
BEEF3,Minerva S.A.,Consumo Defensivo,R$ 3.92,10.05,2.46,4.99%,23.22%,0.39,1.59,R$ 3.74,R$ 2.00,2.0
BPAC11,Banco BTG Pactual S.A.,Serviços Financeiros,R$ 63.50,103.42,3.8,17.57%,24.41%,0.61,16.69,R$ 15.18,R$ 15.50,2.0
CMIN3,CSN Mineração S.A.,Materiais Básicos,R$ 5.38,16.81,3.96,7.17%,28.14%,0.32,1.36,R$ 3.13,R$ 10.50,2.0
CSNA3,Companhia Siderúrgica Nacional,Materiais Básicos,R$ 6.23,,0.68,12.73%,-12.29%,-1.98,9.18,R$ 0.00,R$ 13.22,2.0
CPLE3,Companhia Paranaense de Energia - COPEL,Utilidade Pública,R$ 16.10,15.05,2.12,6.6%,12.76%,1.07,7.6,R$ 13.53,R$ 17.67,2.0
DXCO3,Dexco S.A.,Materiais Básicos,R$ 5.71,,0.75,16.83%,0.73%,-0.04,7.63,R$ 0.00,R$ 16.02,2.0
ENGI11,Energisa S.A.,Utilidade Pública,R$ 52.81,38.27,1.03,30.0%,9.41%,1.38,51.04,R$ 39.81,R$ 34.17,2.0
GGBR4,Gerdau S.A.,Materiais Básicos,R$ 25.52,22.19,0.94,3.1%,4.18%,1.15,27.27,R$ 26.57,R$ 15.33,2.0
IGTI11,Iguatemi S.A.,Imobiliário,R$ 26.95,165.34,1.62,29.83%,13.51%,0.16,16.66,R$ 7.82,R$ 11.17,2.0
IRBR3,IRB-Brasil Resseguros S.A.,Serviços Financeiros,R$ 63.43,21.57,0.97,2.49%,4.57%,2.94,65.28,R$ 65.71,R$ 26.33,2.0
GOAU4,Metalurgica Gerdau S.A.,Materiais Básicos,R$ 11.46,19.1,0.79,3.34%,4.17%,0.6,14.54,R$ 14.01,R$ 7.33,2.0
LWSA3,Locaweb Serviços de Internet S.A.,Tecnologia,R$ 3.99,,0.92,7.45%,-7.8%,-0.37,4.34,R$ 0.00,R$ 0.67,2.0
MRVE3,MRV Engenharia e Participações S.A.,Imobiliário,R$ 5.26,,0.65,30.0%,-10.04%,-1.02,8.13,R$ 0.00,R$ 39.56,2.0
NATU3,Natura Cosméticos S.A.,Consumo Defensivo,R$ 7.95,,0.87,19.3%,-2.48%,-0.37,9.16,R$ 0.00,R$ 25.57,2.0
MULT3,Multiplan Empreendimentos Imobiliários S.A.,Imobiliário,R$ 31.52,11.26,2.29,3.56%,21.9%,2.8,13.76,R$ 29.44,R$ 19.00,2.0
POSI3,Positivo Tecnologia S.A.,Tecnologia,R$ 3.43,38.11,0.3,5.24%,0.81%,0.09,11.27,R$ 4.78,R$ 7.50,2.0
RAPT4,Randoncorp S.A.,Bens Industriais,R$ 5.14,,0.59,30.0%,-1.44%,-0.79,8.67,R$ 0.00,R$ 0.83,2.0
SAPR11,Companhia de Saneamento do Paraná - SANEPAR,Utilidade Pública,R$ 35.35,43.7,0.88,30.0%,3.81%,0.81,40.05,R$ 27.00,R$ 18.33,2.0
TAEE11,Transmissora Aliança de Energia Elétrica S.A.,Utilidade Pública,R$ 41.64,39.28,1.78,7.22%,20.86%,1.06,23.43,R$ 23.64,R$ 64.67,2.0
SBSP3,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilidade Pública,R$ 27.94,11.74,2.18,5.19%,18.79%,2.38,12.82,R$ 26.20,R$ 23.67,2.0
TOTS3,TOTVS S.A.,Tecnologia,R$ 34.94,22.99,3.67,1.95%,17.01%,1.52,9.52,R$ 18.05,R$ 13.83,2.0
TUPY3,Tupy S.A.,Bens Industriais,R$ 16.12,,0.92,12.44%,-28.2%,-5.85,17.45,R$ 0.00,R$ 33.42,2.0
UNIP6,Unipar Carbocloro S.A.,Materiais Básicos,R$ 57.09,25.37,3.4,11.34%,10.77%,2.25,16.78,R$ 29.14,R$ 169.67,2.0
USIM5,Usinas Siderúrgicas de Minas Gerais S.A.,Materiais Básicos,R$ 6.91,,0.41,30.0%,-8.07%,-1.91,16.86,R$ 0.00,R$ 56.61,2.0
ABEV3,Ambev S.A.,Consumo Defensivo,R$ 15.50,15.05,2.71,5.0%,18.4%,1.03,5.71,R$ 11.51,R$ 12.17,1.0
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Serviços Financeiros,R$ 18.23,18.23,4.87,5.13%,27.71%,1.0,3.74,R$ 9.18,R$ 15.00,1.0
CSMG3,Companhia de Saneamento de Minas Gerais,Utilidade Pública,R$ 56.90,16.69,2.44,3.84%,14.97%,3.41,23.35,R$ 42.33,R$ 17.00,1.0
CSAN3,Cosan S.A.,Energia,R$ 3.75,,2.98,17.34%,-27.22%,-2.9,1.26,R$ 0.00,R$ 10.84,1.0
ENEV3,Eneva S.A.,Utilidade Pública,R$ 27.97,55.94,2.63,30.0%,7.15%,0.5,10.64,R$ 10.94,R$ 329.40,1.0
